x y z
12.87807689 63.06743637 6.478196119
12.67644994 62.97898112 5.862314657
12.85803624 62.88320508 5.8570437
13.0664907 62.91853776 5.864041284
13.29665297 63.0545264 5.880489782
11.69894114 63.05466137 7.603996994
12.10613543 15.76327518 3.688747685
12.09000337 14.68841752 3.53072385
12.02814143 14.1647326 3.448792022
11.95137407 13.90054995 3.40226082
12.14011615 17.30744814 4.09670522
12.14021059 14.75184179 3.352916355
12.0767391 15.63581747 4.022414795
12.15599899 16.88547555 4.031832476
12.1170711 14.36086112 3.297601816
12.02675631 15.1822722 3.943410983
12.06946731 16.33862777 3.9363301
11.96330602 12.84104757 3.257192651
11.96660773 12.76583899 3.923044841
12.07468748 13.87315242 3.227767582
12.09724301 14.89207531 3.906303039
12.15936043 16.04453678 3.901134989
12.03171634 12.60082858 3.233470719
12.06010089 12.55322132 3.230733673
12.05687305 12.47303946 3.219602625
12.02241907 12.36127862 3.200260202
12.02246427 12.28568688 3.190223972
12.0725173 12.26135517 3.193508428
11.98898347 12.10202422 3.161575357
12.04063205 12.07980973 3.165407222
11.94346842 11.90903253 3.781498591
11.92499022 12.80199236 3.070467112
11.94945277 11.84211219 3.771872441
11.95680072 12.75744192 3.068565723
11.97390982 11.79375609 3.76815335
11.98642347 12.71066663 3.066145774
11.9237861 11.67253259 3.096796315
12.09152192 14.69856056 3.68825247
12.02700644 14.52905117 3.654959699
11.97901522 13.35064041 3.651934496
11.94455024 11.40920143 3.065593045
11.97480457 12.24237864 3.6603797
12.00814027 13.21206666 2.957579658
11.99349217 14.13186227 3.59179904
11.93516382 11.19198747 3.66839258
11.94679737 12.06138736 2.979371423
11.99471695 12.96250104 3.595674149
12.05434486 13.94141693 3.571442863
11.93335297 10.98563508 3.010302823
11.91394565 10.90043182 3.620481174
11.98023942 11.80189651 2.951368447
11.96735025 11.72034301 3.5803247
12.01134957 12.65845457 2.890737102
11.99731484 12.57281539 3.538216939
11.97271711 12.47021239 3.519662967
11.98640941 12.40804999 3.512480845
11.96226946 12.30727527 3.494325748
11.89896522 11.30103652 3.507585337
11.91225132 12.17444158 2.821606443
11.96106706 10.48066776 3.565569084
11.90067609 11.23027748 2.871681091
11.97987485 13.02532023 3.429330846
11.98530692 11.17503798 3.502568772
11.95136894 11.99161602 2.80460982
11.90364291 10.23821721 2.913955727
11.95654173 11.01185119 3.474350978
11.96866734 11.86250013 2.791535424
12.06406538 12.79803228 3.408213874
11.90441289 10.0497518 3.492936295
11.91883309 10.83967244 2.827429648
11.96163507 10.81476936 3.446759991
11.93804802 11.61630337 2.759339855
11.98206045 11.59384789 3.394573322
11.95016144 12.42700499 2.689010465
12.00397544 12.42520401 3.34790661
12.02014193 12.36579075 3.341818829
12.02438751 12.29446423 3.332496901
11.96495818 12.15885151 3.305672664
11.98217376 12.10185497 3.300155422
11.96984774 11.1628204 3.332327953
11.95984445 11.98740379 2.641083087
11.90809541 9.502418521 3.415709415
11.88575778 10.22450377 2.751545069
11.98987439 11.88875699 3.27199938
11.88535872 10.10078901 3.333888582
11.88044312 10.87101672 2.667655991
11.96669587 11.73700278 3.897517031
11.86349333 9.289406046 2.796441356
11.9006719 9.988692248 3.320929339
11.881051 10.73837912 2.652947471
11.90884953 10.71083296 3.887633918
11.94789178 11.5598278 3.221584817
11.9331278 9.891768178 3.312986425
11.91580647 10.6376819 2.6460834
11.87827687 9.068064854 3.350514809
11.86232179 9.769050173 2.69692218
11.96535632 11.38088583 3.839764184
11.86515641 9.000565674 2.763960639
11.88592404 10.42151982 3.218410603
11.91520953 9.63269164 3.274944595
11.90107372 11.14943514 2.543533411
11.81957568 8.795788953 3.303259771
11.90558186 10.24648425 3.198061338
11.91994808 11.03056811 2.533054198
11.89938923 10.97544279 3.764119453
11.84018146 8.69875055 2.726735395
11.87875013 8.671098034 3.29735295
11.88239027 8.61800006 3.291008395
11.92986465 10.80204368 3.742150848
11.81125706 8.511233306 2.70191888
11.94267637 10.74715008 3.735809155
11.9676065 10.70331717 3.733317919
11.94360272 10.61607772 3.715652531
11.96735617 10.57164773 3.712934561
11.91744076 9.704310241 3.730307695
11.94706235 10.47424944 3.078902263
11.84441836 9.584566014 3.698229191
11.96137628 10.42206886 3.07433631
11.87225285 9.546964529 3.697757361
11.90720408 10.31077474 3.052268048
11.66013346 7.96993986 3.726366227
11.86027617 8.773709717 3.153294375
11.91109688 9.505920044 2.52449207
11.67949456 7.935774293 3.16587011
11.83942379 8.650510283 3.709762389
11.8574974 9.349658149 3.074368347
11.8761005 9.312408249 3.663084384
11.88658886 10.04034616 3.015170594
11.89005009 9.264580015 3.658602829
11.93087069 10.01519336 3.018595
11.88538936 9.928743006 3.601052828
11.90380313 9.882278245 3.597429104
11.91002331 9.825876128 3.590181893
11.65666466 7.554650572 3.664885226
11.71752672 8.230987196 3.060697845
11.65744889 7.509366352 3.108988921
11.67221332 7.468307555 3.106801193
11.86806497 9.548927687 3.541941233
11.90871527 9.521595993 3.545338459
11.8923802 8.749650709 3.583595631
11.86443314 9.413500215 2.934887905
11.85954488 8.669538391 3.565669415
11.86473271 9.35456654 2.927848835
11.68295867 7.220243873 3.623557749
11.66987395 7.828736118 3.003634981
11.66718493 7.165889426 3.069828668
11.66956964 7.728936757 3.541259344
11.83057523 8.475834647 2.963044517
11.85350259 9.124914841 3.478299923
11.64472167 7.000607039 3.584781114
11.64307673 7.605255349 2.972490839
11.66963792 6.971631124 3.047732512
11.66250704 7.520006637 3.510845479
11.83245389 8.259347 2.93790709
11.66595532 6.872655383 3.035700003
11.67734658 7.428531985 3.501525218
11.83207251 8.151565701 2.92533814
11.68041218 7.380243253 3.495638663
11.81497631 8.08644767 2.914964069
11.66686879 7.321699437 3.484846645
11.83972944 8.050161901 2.914964069
11.85846088 8.673708967 3.416244096
11.68269405 7.845210264 3.415655015
11.82544935 8.581703103 2.831395406
11.68730524 7.796389001 3.409994241
11.79677556 8.505765675 2.818268557
11.61082399 6.508431039 2.984288137
11.68640223 8.329666397 3.33697564
11.69600457 8.282515933 3.332445927
11.62885658 6.374108253 3.498809758
11.82458239 7.067733504 2.944482139
11.65935005 7.52189713 3.367773172
11.79463786 8.23222411 2.787258883
11.68612308 8.134427594 3.88505982
11.67924786 6.313324438 2.976631085
11.62397173 6.232996427 3.479931775
11.79038486 6.900808524 2.920026591
11.65501053 6.777192419 3.411019143
11.77736923 7.43938432 2.836159579
11.6414798 6.150715068 3.473809186
11.78676831 6.80193966 2.90873938
11.62261771 6.09521158 3.462584439
11.79655087 6.759426361 2.906022124
11.64126294 6.059525127 3.462584439
11.76368442 6.692737631 2.892853789
11.61512769 6.000703639 3.449318828
11.76883548 6.647957866 2.889091541
11.69171599 7.154696793 3.881057499
11.66774719 7.736302102 3.255215949
11.62673794 5.916604223 3.441920699
11.77181222 6.554688193 2.879894546
11.67733605 7.035830642 3.30904114
11.79832823 7.70762045 2.730946799
11.64480557 7.586239857 3.792138564
11.73657971 5.886475404 2.943815152
11.66205515 6.941294539 3.842644689
11.6611513 7.527563523 3.227358647
11.66755799 6.896181296 3.837468621
11.66123208 7.477031443 3.221017189
11.6425769 7.433057985 3.768974051
11.77273592 5.769617453 2.939439694
11.63223209 6.202662527 3.335229689
11.79753534 6.858036805 2.778303256
11.60284051 6.141346062 3.857779491
11.65087656 6.730738008 3.265876648
11.74692368 7.369152664 2.687190554
11.67287312 7.302052777 3.756865249
11.76461081 5.631947683 2.924344223
11.68128998 7.257551045 3.75239037
11.75539196 5.583268823 2.917781036
11.60673914 6.007313332 3.306532676
11.79037278 6.661650922 2.757155766
11.61994048 5.969018337 3.305060919
11.78511711 6.61106521 2.751170508
11.61555143 5.382206758 3.377633276
11.72017256 5.971782434 2.811544471
11.65490533 6.461333646 3.77317476
11.68053655 7.042101623 3.171417781
11.60700773 5.291980954 3.365643206
11.73037317 5.886598071 2.805273824
11.62495119 5.257143077 3.366153423
11.73699739 5.844914955 2.802556566
11.64018005 6.890042856 3.690793739
11.7301444 5.265608225 2.882777372
11.62210881 5.702245764 3.804210888
11.64214368 6.257464542 3.208088275
11.62428076 5.659129655 3.270968013
11.7445056 6.260588862 2.709673515
11.63966522 6.745853102 3.670788036
11.73520693 5.138636825 2.872276226
11.68204773 5.068585398 3.359775724
11.71238254 5.610117511 2.775801948
11.68599684 5.027753658 3.356459323
11.72423938 5.571639517 2.774547865
11.61306485 5.478416414 3.248648221
11.69425512 6.05070086 2.680745473
11.6417177 6.557528929 3.645780788
11.71471355 4.959244367 2.852148932
11.61917898 5.39439072 3.764457452
11.61801392 5.926531752 3.16563141
11.61104122 5.347373947 3.234176928
11.70363646 4.823958199 3.33987731
11.72915143 5.354996883 2.755945016
11.69152848 4.77705759 3.332224073
11.7259277 5.310112266 2.751346402
11.62945894 5.76449629 3.67509937
11.63072908 6.301498507 3.075842685
11.61687086 5.713927053 3.665564295
11.63542472 6.257943339 3.071992465
11.67130665 5.159625024 3.228535707
11.62053746 5.627442627 3.65575671
11.63917865 6.168188033 3.062933274
11.67943377 5.077779133 3.742466197
11.61099915 5.568190883 3.12553322
11.69693423 5.042775302 3.222649151
11.63805423 6.047556608 3.578656421
11.68955057 4.489780377 2.807519355
11.71872973 4.967126326 3.220196302
11.63629777 5.956252292 3.566810834
11.66574976 4.398691257 2.795267979
11.62441263 5.905231408 3.557597625
11.66639306 4.358100334 2.792205018
11.71999495 4.333243281 3.296764078
11.67424605 4.818906827 2.699509195
11.72143106 4.292943274 3.293447676
11.67901883 4.778994563 2.697209886
11.70807556 4.752096426 3.713144526
11.60589175 5.219387057 3.088737128
11.69305058 4.70426577 3.188801343
11.71034333 4.167051649 3.279416743
11.61985564 4.630394627 2.673590474
11.61222174 5.632582379 3.521534669
11.60336923 5.5843786 3.513637768
11.7121502 4.090804269 2.78148524
11.58910585 5.53378883 3.504161344
11.73110106 4.057084981 2.783016604
11.59992628 5.495316564 3.502318609
11.73518353 4.018230601 2.78104774
11.60101475 5.452316355 3.497580515
11.7289743 3.975943446 2.776672284
11.72077206 4.939262521 3.601270436
11.63754243 5.410139862 2.984117811
11.72077811 4.896974821 3.596639156
11.65231724 5.373595073 2.983664818
11.71707849 4.853260472 3.590918062
11.6067467 5.309458674 2.967811174
11.59680362 5.277575174 3.476521955
11.71935202 3.812993554 2.763108175
11.71301123 4.259013376 3.153236681
11.69868309 4.213212212 3.653937089
11.72544454 4.720538292 3.067980641
11.70522796 4.175045044 3.651963695
11.70015838 4.668696337 3.057602282
11.71345925 4.137516345 3.650553929
11.69273867 4.624201523 3.051941273
11.68164909 3.599736316 3.225078526
11.68224282 5.05900475 3.47362636
11.71008773 3.572996814 2.744949978
11.7147414 4.017085138 3.639276254
11.70396786 4.504520713 3.043921588
11.67166121 3.479362403 3.213343564
11.7164675 4.437036118 3.547329185
11.71477481 4.930145159 2.955354756
11.71200739 4.394309558 3.541880367
11.68130404 4.873928428 2.9431246
11.67624581 3.364029068 3.205945436
11.69023098 3.329250276 3.206965867
11.7087665 3.295727368 3.209261837
11.70170511 4.227370094 3.522810218
11.67609099 4.704369869 2.927044459
11.68077398 3.687648227 3.099031264
11.66302155 3.167297352 3.1885981
11.68110363 4.098783978 3.505102156
11.68353068 4.582835305 2.918211765
11.69104091 3.572901646 3.092899376
11.70694365 4.027345815 3.505374669
11.69325189 4.504058138 2.913682051
11.70400305 4.481996973 3.419663417
11.61465084 3.005293743 2.689819256
11.63581238 2.964924344 3.670180947
11.69553939 3.456905064 3.085541301
11.71954385 4.405685382 3.416241394
11.62624932 2.932300618 2.688287658
11.69701175 3.864064691 3.487939115
11.6965068 4.34124542 2.900999135
11.72191855 4.324676486 3.409134136
11.59474803 2.848801495 2.676911515
11.69330935 3.300766803 3.570482957
11.68597887 3.771364455 2.980472205
11.63420023 3.245577378 3.055863196
11.69039067 4.191212118 3.388602003
11.47802142 2.708352028 2.644095578
11.69171942 3.18443227 3.560897098
11.7109185 3.660750416 2.978113527
11.6866106 3.144558802 3.556385982
11.72302328 3.62509162 2.978349325
11.66374949 3.100064415 3.546518075
11.70342351 3.579728876 2.970565673
11.61486425 2.582936648 3.636858137
11.66292469 3.061567109 3.050712402
11.65988787 2.559486139 3.149566594
11.65823483 2.521657823 3.147015515
11.62598476 2.473339939 3.633058221
11.66335091 2.947207068 3.043599422
11.6991643 3.392591079 3.448981283
11.71054508 3.862330528 2.867253371
11.63251239 2.400218464 3.630427273
11.66521207 2.871647262 3.03942972
11.71067282 3.797311572 3.359119878
11.61607511 2.322609853 3.620781335
11.67129951 2.79730518 3.036486442
11.72971498 3.245946087 3.445984599
11.67347872 3.691899633 2.846870013
11.61132945 2.247656374 3.614935309
11.67785862 2.723217095 3.033788497
11.65772054 2.223559121 3.131198825
11.73434592 3.60702787 3.349643456
11.6467822 3.069636416 3.410296198
11.69180272 3.540465891 2.840528554
11.59777344 2.554896455 3.489848362
11.67420117 3.029236835 2.927401182
11.62066688 2.986619208 3.397219416
11.63112169 3.444322175 2.820598193
11.57806727 2.024822084 3.10109586
11.63690758 2.91479234 3.396674631
11.64174453 3.369910919 2.818106956
11.59349402 2.405170709 3.479416596
11.64916439 2.870634789 2.912069438
11.59799789 2.369014973 3.478570686
11.65036173 2.833045222 2.91018259
11.6042712 2.333232634 3.478288876
11.66561374 2.798876097 2.911833641
11.65214141 2.767101572 3.390953539
11.6409123 3.215384746 2.808141775
11.59264115 1.804193072 3.585997016
11.65503722 2.269125073 3.00411039
11.61409894 1.774996289 3.099820319
11.67276741 3.122809783 3.296996818
11.60485619 1.740686348 2.630969205
11.63921911 2.613574091 3.377604245
11.60601982 3.052963478 2.790476151
11.60396842 2.568288554 3.365072487
11.61533161 3.017342293 2.790476151
11.62401405 2.535341471 3.368614193
11.6066079 2.977094937 2.786173171
11.61010161 2.495018005 3.362348314
11.63740388 2.946971658 2.791382141
11.61393648 2.458589871 3.361258504
11.63883088 2.90936523 2.789570398
11.67115094 2.893263266 3.280939566
11.60198433 1.478859027 3.574889335
11.58700454 1.925508482 2.97173434
11.67555477 2.818426666 3.277254329
11.61607346 1.857169046 3.456861483
11.67165748 2.312432995 2.888010618
11.61602922 1.820631423 3.455169666
11.65389679 2.271779651 2.881878013
11.68502335 2.707146783 3.272779215
11.59738862 1.778579396 2.507836633
11.60239519 1.298379973 3.568458708
11.57778849 1.741921289 2.962168509
11.60174514 1.266173019 3.07915658
11.62343901 2.127140836 3.345729828
11.60724228 2.563196197 2.763977834
11.60338927 1.190465784 3.565243395
11.56549237 1.631361587 2.955055768
11.63275253 2.507666277 3.246982323
11.62356353 2.016781661 3.340281245
11.64177701 2.458672763 2.766695802
11.60584536 1.528247544 3.439944971
11.6687736 1.978758063 2.872678874
11.61047856 1.492634222 3.439944968
