x y z
-13.68343933 17.16971912 6.710736665
-13.55931804 17.5600121 6.781182201
-13.44192615 17.51882912 6.749320897
-13.2275054 17.34932653 6.668352516
-14.07323487 17.50947946 6.601333843
-13.0730305 18.03618648 5.877183858
-13.40563715 17.32244083 6.43668102
-13.61678787 17.70725721 6.564117656
-12.84870278 18.31137056 5.901929323
-13.42116629 19.50662135 6.247091235
-13.39781442 19.60118971 6.264183465
-14.63902637 19.24073183 6.845383404
-11.69338974 18.15267766 4.841236989
-11.76175601 18.38244223 4.892867486
-11.8063155 18.5773836 4.935090939
-12.05916963 19.10447563 5.065260809
-12.012422 19.1603965 5.070292868
-11.94894003 19.18970529 5.068323533
-13.71490104 18.97503 6.629072903
-11.85395019 19.30007849 5.078168315
-13.60386542 18.94355359 6.603464363
-12.92022801 19.63827222 5.947392758
-11.29114453 19.03234138 4.96156208
-11.79788583 20.02626346 4.313727418
-13.54360945 18.12096698 6.172820079
-11.72071359 20.17734347 4.330697576
-13.43445807 18.20683286 6.173873411
-12.64736146 18.83381615 5.506420251
-13.12434376 18.13354868 6.107801426
-12.64482583 19.08198847 5.556189175
-10.84784471 17.89854526 4.473472408
-13.25508499 18.67366631 6.248368251
-12.80636993 19.71751542 5.706675168
-10.75203195 18.114518 4.502526098
-12.64372467 19.73108389 5.688041326
-10.63327188 18.16748962 4.499390892
-11.94451973 19.15335342 5.4788233
-10.52717472 20.51327036 3.405964355
-12.38139947 18.79836326 5.233983106
-10.87822105 18.06951259 4.29414045
-10.8257494 18.10784719 4.295337311
-12.06556854 19.07411493 5.248025006
-12.02512855 19.1399083 5.255951947
-14.09422224 25.52446588 4.019453549
-13.80605986 25.94845246 3.766331454
-11.60929362 22.11833639 3.690050581
-12.30302906 22.10398252 4.190653607
-12.12019477 22.09342678 4.174474046
-11.65067807 23.42303096 3.606350923
-11.18124839 22.82950302 3.504338527
-12.12200194 23.65117516 3.405496854
-11.53502837 23.56472241 3.361901779
-10.97970639 23.14529342 3.282591839
-11.23719349 21.92518528 3.842654313
-10.95945676 22.59441298 2.977545264
-10.67159463 22.88856708 2.994382861
-10.49832411 23.06897034 3.005215409
-13.52981075 24.13216228 4.855393287
-17.05806056 32.54829285 3.698321556
-17.14250511 33.47687956 3.432110743
-12.98132699 27.76639181 3.39040641
-12.37824209 28.77763786 2.310946808
-12.77404828 28.03750645 3.100810265
-12.62877684 28.89598903 2.023810292
-12.98276083 28.74944623 2.878585533
-12.34242498 28.78168622 2.560925804
-7.532298048 22.96562191 0.898498011
-7.154797203 23.00021377 0.895451796
-6.497575949 21.85767753 0.015521509
-6.451689334 23.54299013 0.01661604
-6.638586033 22.59916055 0.649695695
-6.485851164 22.87326954 -0.213291455
-6.509105645 24.3738128 -0.226326127
-7.8127978 23.20085752 1.106538107
-6.443435103 22.47476703 0.4223893
-6.54166094 23.95781656 -0.453439174
-6.529275882 22.8183347 0.205881609
2.458428978 6.095667342 -0.23641709
2.489960135 6.01368929 -0.234116544
2.457067301 5.890053069 0.004344089
2.456619406 6.084024477 -0.297142502
2.466390736 5.475247984 -0.215999742
2.484547884 5.482105891 0.223751497
2.487321273 5.46917306 -0.435839066
2.452543587 5.349094417 -0.426867613
2.441710551 5.289899229 -0.209565392
2.470154375 5.301399124 -0.42426298
2.252609152 5.313348031 0.370370085
2.436353335 5.194292794 -0.206366201
2.483290188 5.258086873 0.003958145
2.487129177 5.790221329 -0.517547242
2.313619928 5.365405437 0.374981279
2.435504874 5.110682489 -0.203634297
2.427375026 5.053640964 -0.201657271
2.477430403 5.64166171 0.169958175
2.484183995 5.124671861 -0.413121024
2.479720596 5.087884597 0.003852639
2.441080675 5.496030505 -0.493892184
2.401056832 5.374840044 -0.052811522
2.494875286 5.067276905 -0.409720549
2.416714006 5.365625152 -0.052793581
2.484255201 5.006885246 -0.405451873
2.495654942 5.00771838 0.208000105
2.43199385 5.916600855 -0.11679632
2.489909644 5.469702142 -0.493564776
2.482752675 4.943777616 0.205659684
2.458559204 5.92943074 -0.117197936
2.442660894 5.322542972 -0.480959617
2.473115231 5.352196865 -0.267012027
2.469743773 4.847301607 0.401318446
2.467487995 4.834735895 0.003694722
2.446830089 5.792951295 -0.345746959
2.465191063 5.256401444 -0.052084882
2.4908507 4.832548868 -0.394382248
2.479836479 4.790469889 0.200533059
2.603286556 6.066957818 -0.12053862
2.490721147 5.2561411 -0.477685562
2.466318089 4.732388459 0.393667266
2.464054038 5.700208011 0.112190382
2.432797571 5.099642954 -0.255882767
2.479265612 5.162279688 -0.051376183
2.472900314 4.691190402 -0.384687284
2.472703186 5.111126361 0.156612978
2.416698512 4.556432138 -0.185517495
2.432660109 5.512931683 -0.551678102
2.472163021 5.070271182 0.155592785
2.458342241 6.127695336 -0.184191954
2.506438115 5.125798069 -0.468600027
2.474042799 4.604857013 0.19432908
2.670319379 5.968813964 -0.119388548
2.477170259 4.596237492 -0.378754565
2.467229811 4.558576033 0.192694512
2.423045838 5.371825478 -0.107595732
2.488796317 6.089341292 -0.424593296
2.452971857 4.495281613 0.003485754
2.4329033 4.867244252 -0.246427414
2.464595804 5.404741868 -0.54383735
2.470621073 4.498680185 0.190799874
2.466902782 4.903170998 -0.049241118
2.4688394 5.378502585 -0.325379844
2.466513534 4.458725308 0.189425346
2.471986141 4.87595793 -0.049043756
2.462685261 5.321969412 -0.322415347
2.488165676 4.4733595 0.566203813
2.484259172 4.871927669 0.350964542
2.469865026 5.306401797 0.10574183
2.618589096 6.194656882 -0.187622023
2.459589643 4.382505682 0.186824885
2.460671353 4.780679686 -0.048236377
2.442609413 5.194713848 -0.31560802
2.459511406 4.751130169 0.343343253
2.474592807 5.232397018 0.104567723
2.648257727 6.159188158 -0.187036407
2.46392328 4.724095924 0.341934259
2.479447645 5.201314332 0.104098076
2.57885948 5.947436899 -0.180845541
2.445804515 4.268585347 0.362915471
2.445003933 4.64704071 0.144839436
2.45967761 5.114315805 -0.103616116
2.448237472 5.594011049 -0.394127187
2.445219943 4.234301181 0.181772557
2.453561555 4.626445581 -0.046980456
2.445142116 5.038585701 -0.307922328
2.446587763 5.538638212 -0.614077496
2.436371589 4.192277631 0.357692078
2.45039921 4.588743861 0.143488363
2.447564224 5.010188768 -0.101808859
2.464664414 5.538767407 -0.391293106
2.414493267 4.493949258 0.32739612
2.464541541 5.010796532 0.100882837
2.483595815 5.540445336 -0.169384089
2.443312747 4.145460484 0.354970023
2.454695427 4.529679033 0.142109737
2.447598599 4.933276561 -0.100549256
2.48338556 5.489898984 -0.388909933
2.485121816 5.464304984 0.271328975
2.439455811 4.103671596 0.003249558
2.400977639 4.391358874 -0.226657119
2.467295906 4.922213717 -0.504086653
2.47185683 4.139768331 0.533330958
2.469248751 4.910955779 0.30058202
2.468222836 5.381772725 0.051359804
2.412099706 4.02562978 -0.168802594
2.485098448 4.133084462 0.712407272
2.443345667 4.056745971 0.176051524
2.45251407 4.425688004 -0.045392614
2.432969093 4.787105615 -0.295240904
2.455173419 5.292309477 -0.591677713
2.470957669 4.081161036 0.527723948
2.438939787 4.377054829 0.321568067
2.446475441 4.787217841 0.097125696
2.43847996 5.223623177 -0.160822866
2.474671138 4.059134052 0.525854926
2.459991507 4.782358301 0.294084428
2.47810647 5.274657943 0.050553108
2.477753039 4.036275239 0.523875932
2.453516891 4.734008973 0.291572748
2.472450302 5.220939237 0.050110726
2.448015449 4.29978574 0.31753325
2.434852712 4.658167669 0.094958114
2.442476177 5.1089702 -0.157978413
2.44928181 4.271477732 0.315996195
2.444007523 4.640944457 0.094759421
2.429934061 5.042918924 -0.156165776
2.456386083 4.253573144 0.315227653
2.445113738 4.60869402 0.094253646
2.418756786 4.980590157 -0.154464689
2.448606558 3.881153614 0.507604461
2.450861062 4.214098147 0.31285801
2.440389375 4.565899097 0.093531119
2.426994787 4.95878047 -0.154018504
2.489346492 4.254639699 0.679536605
2.434880264 3.826936878 0.168621626
